date,branch,product,mass,materials,lifeCycleStep,lifeCycleStepCountry,impact,value,norm_value_ecs
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Utilisation,FR,wtu,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Utilisation,FR,ecs,108.2548063,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Utilisation,FR,pef,143.2898031,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Fin de vie,FR,acd,0.000105222,0.09903113399
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Fin de vie,FR,cch,0.291994712,9.305227428
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Fin de vie,FR,etf,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Fin de vie,FR,etf-c,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Fin de vie,FR,fru,-0.28571195,-0.3085484943
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Fin de vie,FR,fwe,2.24E-06,0.03300492959
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Fin de vie,FR,htc,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Fin de vie,FR,htc-c,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Fin de vie,FR,htn,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Fin de vie,FR,htn-c,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Fin de vie,FR,ior,-0.035174277,-0.3525629164
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Fin de vie,FR,ldu,0.00438867,0.0003588061106
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Fin de vie,FR,mru,1.38E-08,0.01385872934
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Fin de vie,FR,ozd,-3.98E-11,-3.96E-05
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Fin de vie,FR,pco,0.000260632,0.2570649841
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Fin de vie,FR,pma,1.00E-09,0.1273143935
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Fin de vie,FR,swe,0.00017628275,0.2254808725
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Fin de vie,FR,tre,0.000626989,0.1110280088
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Fin de vie,FR,wtu,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Fin de vie,FR,ecs,8.322503334,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Fin de vie,FR,pef,8.385693848,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",transports,,acd,0.009072010855,8.538247918
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",transports,,cch,1.159911666,36.96382642
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",transports,,etf,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",transports,,etf-c,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",transports,,fru,13.64126695,14.73159376
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",transports,,fwe,3.89E-07,0.005737933245
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",transports,,htc,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",transports,,htc-c,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",transports,,htn,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",transports,,htn-c,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",transports,,ior,0.03676492027,0.3685064375
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",transports,,ldu,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",transports,,mru,5.10E-07,0.5108309946
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",transports,,ozd,3.29E-10,0.000327304954
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",transports,,pco,0.007975072494,7.865925459
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",transports,,pma,6.38E-08,8.108158758
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",transports,,swe,0.003052196298,3.904022853
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",transports,,tre,0.03339816599,5.914189672
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",transports,,wtu,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",transports,,ecs,76.05555256,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",transports,,pef,91.53125767,0
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,acd,0.0433369603,40.78717684
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,cch,4.521997369,144.1060821
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,etf,0,0
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,etf-c,0,0
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,fru,61.08221179,65.96442493
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,fwe,0.0005534756289,8.163408162
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,htc,0,0
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,htc-c,0,0
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,htn,0,0
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,htn-c,0,0
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,ior,0.8588488079,8.608513557
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,ldu,245.1201598,20.04037924
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,mru,1.32E-05,13.21681278
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,ozd,3.73E-07,0.3709973519
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,pco,0.009382035604,9.253632837
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,pma,6.88E-07,87.51796355
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,swe,0.03359873932,42.97569137
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,tre,0.09409498583,16.66245966
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,wtu,1.752558554,10.97192395
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,ecs,468.6394663,0
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Matières premières,CN,pef,510.5127994,0
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,acd,0.009558368023,8.995989663
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,cch,1.127907246,35.94391614
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,etf,0,0
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,etf-c,0,0
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,fru,11.38552912,12.29555805
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,fwe,2.36E-08,0.0003481082263
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,htc,0,0
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,htc-c,0,0
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,htn,0,0
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,htn-c,0,0
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,ior,0.01539632112,0.1543222019
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,ldu,0,0
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,mru,9.08E-08,0.09094555712
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,ozd,6.73E-13,6.69E-07
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,pco,0.006924131039,6.829367214
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,pma,3.54E-07,45.03664762
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,swe,0.002511321143,3.212196784
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,tre,0.02740608308,4.853104016
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,wtu,0,0
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,ecs,117.412396,0
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Filature,CN,pef,127.9392587,0
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Tissage & Tricotage,IN,acd,0.02962359918,27.88065822
2023-10-24,pr371,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Tissage & Tricotage,IN,cch,2.881060004,91.81302767
